[database] 2022-08-14 06:59:13,169 - INFO - logging test
[database] 2022-08-14 06:59:13,169 - WARNING - logging test
[database] 2022-08-14 06:59:13,169 - ERROR - logging test
[database] 2022-08-14 06:59:13,169 - CRITICAL - logging test
[database] 2022-08-14 07:10:08,883 - INFO - evm: add finish tx. income txid: testuse
[database] 2022-08-14 07:10:34,994 - INFO - evm: add finish tx. income txid: testuse
[database] 2022-08-14 07:10:35,066 - INFO - like: add finish tx. income txid: testuse
[database] 2022-08-14 07:23:10,494 - INFO - like: add new tx, income txid: testuse
[database] 2022-08-14 07:23:10,500 - INFO - tx update: to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:30:25,945 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:30:41,344 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:30:41,351 - INFO - [like] tx update: to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:32:29,284 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:32:29,291 - INFO - [like] 1 tx(s) updated: to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:34:54,206 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:34:54,213 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:35:37,876 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:35:37,884 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:36:53,434 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:36:53,440 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:37:32,957 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:37:32,963 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:37:32,975 - ERROR - [evm] Error while adding tx into evm. to_contract_txid: testuse
[database] 2022-08-14 07:37:32,978 - INFO - [like] 0 tx(s) updated. to_contract_txid: testuse, status: finished
[database] 2022-08-14 07:39:43,059 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:39:43,065 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:39:43,088 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:39:43,091 - INFO - [like] 0 tx(s) updated. to_contract_txid: testuse, status: finished
[database] 2022-08-14 07:40:46,100 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:40:46,109 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:40:46,130 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:40:46,135 - INFO - [like] 0 tx(s) updated. to_contract_txid: testuse, status: finished
[database] 2022-08-14 07:41:39,963 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:41:39,970 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:41:39,986 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:41:39,989 - INFO - [evm] 0 tx(s) updated. to_contract_txid: testuse, status: finished
[database] 2022-08-14 07:42:40,159 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:42:40,165 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:42:40,187 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:42:40,187 - ERROR - [evm] Error while adding tx into evm. to_contract_txid: testuse
[database] 2022-08-14 07:43:25,404 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:43:25,410 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:43:25,432 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:43:25,432 - ERROR - [evm] Error while adding tx into evm. to_contract_txid: testuse, error: name 'like' is not defined
[database] 2022-08-14 07:43:42,982 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:43:42,988 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:43:43,011 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:43:43,023 - INFO - [evm] 1 tx(s) updated. to_contract_txid: testuse, status: finished
[database] 2022-08-14 07:44:47,973 - INFO - [like] add new tx, to_vault_txid: testuse
[database] 2022-08-14 07:44:47,979 - INFO - [like] 1 tx(s) updated. to_vault_txid: testuse, status: finished
[database] 2022-08-14 07:44:47,997 - INFO - [evm] add new tx, to_contract_txid: testuse
[database] 2022-08-14 07:44:48,006 - INFO - [evm] 1 tx(s) updated. to_contract_txid: testuse, status: finished
[database] 2022-08-14 07:52:10,910 - INFO - [evm] add new tx, to_contract_txid: 0x796a65fdbe9e35ae125f9f95cdf6371531edd95a0b60da53ed19140faadca10a
[database] 2022-08-14 07:53:20,616 - INFO - [evm] add new tx, to_contract_txid: 0x796a65fdbe9e35ae125f9f95cdf6371531edd95a0b60da53ed19140faadca10a
[database] 2022-08-14 07:54:06,026 - INFO - [evm] add new tx, to_contract_txid: 0x796a65fdbe9e35ae125f9f95cdf6371531edd95a0b60da53ed19140faadca10a
[database] 2022-08-14 07:54:18,940 - INFO - [evm] 1 tx(s) updated. to_contract_txid: 0x796a65fdbe9e35ae125f9f95cdf6371531edd95a0b60da53ed19140faadca10a, status: finish
[database] 2022-08-14 08:44:09,230 - INFO - [evm] add new tx, to_contract_txid: 0x1d47b5e1f79de6addea25998d0854b0314bd6f2e8f9b97630b6558f24937014d
[database] 2022-08-14 08:44:24,272 - INFO - [evm] 1 tx(s) updated. to_contract_txid: 0x1d47b5e1f79de6addea25998d0854b0314bd6f2e8f9b97630b6558f24937014d, status: finish
[database] 2022-08-14 08:45:08,793 - INFO - [evm] add new tx, to_contract_txid: 0x1d47b5e1f79de6addea25998d0854b0314bd6f2e8f9b97630b6558f24937014d
[database] 2022-08-14 08:45:19,579 - INFO - [evm] 1 tx(s) updated. to_contract_txid: 0x1d47b5e1f79de6addea25998d0854b0314bd6f2e8f9b97630b6558f24937014d, status: finish
[database] 2022-08-14 09:22:55,804 - INFO - [evm] add new tx, to_contract_txid: 0x1d47b5e1f79de6addea25998d0854b0314bd6f2e8f9b97630b6558f24937014d
