[wlike] 2022-08-14 06:22:19,596 - INFO - hi
[wlike] 2022-08-14 06:22:20,395 - DEBUG - transaction: bulit
[wlike] 2022-08-14 06:22:20,405 - DEBUG - transaction: signed
[wlike] 2022-08-14 06:22:20,604 - DEBUG - transaction: sent
[wlike] 2022-08-14 06:22:20,605 - INFO - mint wlike to: 0xDa15a089ce396c50fdC1c01AfDB97c90cA9B0e68 amount: 50124254200000004096 txid: 0x7449e8e6511d3f84b696327ecd62e497e2295e0625e57636b03943df169205da
[wlike] 2022-08-14 06:22:25,713 - INFO - hi
[wlike] 2022-08-14 06:22:26,495 - DEBUG - transaction: bulit
[wlike] 2022-08-14 06:22:26,504 - DEBUG - transaction: signed
[wlike] 2022-08-14 06:22:26,704 - ERROR - transaction error: recipient_address: 0xDa15a089ce396c50fdC1c01AfDB97c90cA9B0e68 amount: 50124254200000004096 like_txid: 691DF965F2AE8E659A496F61F2D3ACA621B8DA38A4DD1C23EA0D2F74FA2EB737
[wlike] 2022-08-14 06:22:26,705 - ERROR - transaction error: {'code': -32000, 'message': 'already known'}
[wlike] 2022-08-14 06:30:34,049 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:30:34,051 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:31:28,939 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:31:28,940 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:33:31,574 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:33:31,574 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:34:04,436 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:34:04,436 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:34:33,053 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:34:33,054 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:37:18,191 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:37:18,191 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:38:51,736 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:38:51,736 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:39:50,738 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:39:50,738 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:41:58,524 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 06:41:58,525 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 06:59:13,165 - INFO - hi
[wlike] 2022-08-14 06:59:13,167 - ERROR - hi
[wlike] 2022-08-14 06:59:13,167 - DEBUG - hi
[wlike] 2022-08-14 06:59:13,167 - WARNING - hi
[wlike] 2022-08-14 06:59:13,168 - CRITICAL - hi
[wlike] 2022-08-14 07:51:24,860 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 07:51:24,862 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 07:52:10,211 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 07:52:10,211 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 07:53:19,514 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 07:53:19,515 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 07:54:05,354 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 07:54:05,354 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 08:42:59,123 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 08:42:59,124 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 08:42:59,613 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 08:42:59,613 - DEBUG - liker_amount: 10.0
[wlike] 2022-08-14 08:43:18,358 - DEBUG - like_address: like1teqq9gt4sczfyng3rly5cds4tfew28gauuxp3z
[wlike] 2022-08-14 08:43:18,358 - DEBUG - liker_amount: 10.0
